date,rainfall_mm
2024-01-01,20.5
2024-01-02,6.6
2024-01-03,0.2
2024-01-04,31.4
2024-01-05,0.0
2024-01-06,0.7
2024-01-07,0.0
2024-01-08,0.1
2024-01-09,0.0
2024-01-10,0.0
2024-01-11,0.0
2024-01-12,0.0
2024-01-13,0.0
2024-01-14,0.9
2024-01-15,0.0
2024-01-16,0.0
2024-01-17,0.0
2024-01-18,0.0
2024-01-19,0.1
2024-01-20,2.2
2024-01-21,15.2
2024-01-22,0.6
2024-01-23,2.4
2024-01-24,0.2
2024-01-25,4.3
2024-01-26,0.0
2024-01-27,0.0
2024-01-28,0.0
2024-01-29,0.0
2024-01-30,0.0
2024-01-31,0.1
2024-02-01,0.0
2024-02-02,0.0
2024-02-03,0.3
2024-02-04,0.0
2024-02-05,0.1
2024-02-06,12.5
2024-02-07,8.7
2024-02-08,22.4
2024-02-09,3.0
2024-02-10,8.3
2024-02-11,0.1
2024-02-12,0.2
2024-02-13,6.0
2024-02-14,4.3
2024-02-15,0.9
2024-02-16,0.6
2024-02-17,13.7
2024-02-18,0.1
2024-02-19,0.2
2024-02-20,1.5
2024-02-21,9.5
2024-02-22,13.6
2024-02-23,2.1
2024-02-24,0.2
2024-02-25,14.4
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,2.3
2024-02-29,17.5
2024-03-01,18.9
2024-03-02,4.9
2024-03-03,0.2
2024-03-04,5.8
2024-03-05,6.1
2024-03-06,0.3
2024-03-07,0.0
2024-03-08,0.0
2024-03-09,3.6
2024-03-10,2.7
2024-03-11,8.0
2024-03-12,7.5
2024-03-13,0.0
2024-03-14,4.7
2024-03-15,0.0
2024-03-16,4.2
2024-03-17,2.2
2024-03-18,0.2
2024-03-19,0.0
2024-03-20,0.0
2024-03-21,0.0
2024-03-22,0.3
2024-03-23,3.3
2024-03-24,0.3
2024-03-25,0.0
2024-03-26,15.8
2024-03-27,13.0
2024-03-28,14.5
2024-03-29,1.7
2024-03-30,0.0
2024-03-31,0.0
2024-04-01,4.5
2024-04-02,16.5
2024-04-03,4.3
2024-04-04,6.4
2024-04-05,0.1
2024-04-06,0.0
2024-04-07,0.0
2024-04-08,4.3
2024-04-09,0.2
2024-04-10,3.8
2024-04-11,0.0
2024-04-12,0.0
2024-04-13,0.0
2024-04-14,0.9
2024-04-15,3.4
2024-04-16,0.4
2024-04-17,0.5
2024-04-18,0.8
2024-04-19,0.2
2024-04-20,0.0
2024-04-21,0.0
2024-04-22,0.5
2024-04-23,0.0
2024-04-24,0.0
2024-04-25,3.8
2024-04-26,5.7
2024-04-27,25.4
2024-04-28,0.8
2024-04-29,0.0
2024-04-30,0.1
2024-05-01,7.3
2024-05-02,1.6
2024-05-03,0.0
2024-05-04,0.0
2024-05-05,9.3
2024-05-06,10.4
2024-05-07,0.0
2024-05-08,0.0
2024-05-09,0.0
2024-05-10,0.0
2024-05-11,0.0
2024-05-12,0.0
2024-05-13,6.8
2024-05-14,0.6
2024-05-15,0.0
2024-05-16,1.1
2024-05-17,0.0
2024-05-18,0.0
2024-05-19,0.0
2024-05-20,0.0
2024-05-21,2.2
2024-05-22,3.7
2024-05-23,0.0
2024-05-24,0.0
2024-05-25,4.4
2024-05-26,1.4
2024-05-27,5.7
2024-05-28,2.8
2024-05-29,0.1
2024-05-30,2.3
2024-05-31,0.0
2024-06-01,0.0
2024-06-02,0.0
2024-06-03,0.0
2024-06-04,0.8
2024-06-05,0.0
2024-06-06,0.0
2024-06-07,0.0
2024-06-08,0.0
2024-06-09,1.0
2024-06-10,0.9
2024-06-11,0.1
2024-06-12,0.0
2024-06-13,4.4
2024-06-14,4.4
2024-06-15,4.9
2024-06-16,0.1
2024-06-17,0.0
2024-06-18,0.0
2024-06-19,0.0
2024-06-20,0.0
2024-06-21,0.8
2024-06-22,0.0
2024-06-23,0.0
2024-06-24,0.0
2024-06-25,0.0
2024-06-26,0.0
2024-06-27,0.0
2024-06-28,0.0
2024-06-29,0.0
2024-06-30,0.0
2024-07-01,0.0
2024-07-02,0.0
2024-07-03,0.3
2024-07-04,6.2
2024-07-05,12.6
2024-07-06,4.1
2024-07-07,10.2
2024-07-08,7.3
2024-07-09,6.7
2024-07-10,3.2
2024-07-11,0.1
2024-07-12,0.8
2024-07-13,2.0
2024-07-14,0.0
2024-07-15,19.5
2024-07-16,0.6
2024-07-17,0.0
2024-07-18,0.0
2024-07-19,0.0
2024-07-20,0.0
2024-07-21,0.0
2024-07-22,0.3
2024-07-23,0.5
2024-07-24,0.4
2024-07-25,3.0
2024-07-26,0.0
2024-07-27,0.0
2024-07-28,0.0
2024-07-29,0.0
2024-07-30,0.0
2024-07-31,0.1
2024-08-01,10.5
2024-08-02,0.1
2024-08-03,0.0
2024-08-04,0.0
2024-08-05,0.3
2024-08-06,2.1
2024-08-07,0.0
2024-08-08,1.6
2024-08-09,0.0
2024-08-10,0.1
2024-08-11,0.0
2024-08-12,0.0
2024-08-13,5.8
2024-08-14,0.1
2024-08-15,3.3
2024-08-16,0.1
2024-08-17,0.0
2024-08-18,0.0
2024-08-19,0.2
2024-08-20,0.0
2024-08-21,0.0
2024-08-22,3.1
2024-08-23,6.0
2024-08-24,5.5
2024-08-25,0.2
2024-08-26,0.1
2024-08-27,0.0
2024-08-28,0.0
2024-08-29,0.0
2024-08-30,0.0
2024-08-31,0.0
2024-09-01,0.0
2024-09-02,4.5
2024-09-03,0.1
2024-09-04,4.5
2024-09-05,39.5
2024-09-06,4.2
2024-09-07,3.7
2024-09-08,6.6
2024-09-09,0.1
2024-09-10,1.8
2024-09-11,3.6
2024-09-12,1.9
2024-09-13,0.1
2024-09-14,0.0
2024-09-15,0.2
2024-09-16,0.1
2024-09-17,0.0
2024-09-18,0.0
2024-09-19,0.0
2024-09-20,33.3
2024-09-21,11.1
2024-09-22,16.3
2024-09-23,1.3
2024-09-24,1.1
2024-09-25,6.7
2024-09-26,10.0
2024-09-27,2.4
2024-09-28,0.0
2024-09-29,22.5
2024-09-30,0.1
2024-10-01,9.7
2024-10-02,0.8
2024-10-03,0.1
2024-10-04,0.0
2024-10-05,0.0
2024-10-06,2.6
2024-10-07,13.0
2024-10-08,13.3
2024-10-09,1.1
2024-10-10,0.1
2024-10-11,0.1
2024-10-12,1.3
2024-10-13,16.1
2024-10-14,0.6
2024-10-15,0.4
