date,rainfall_mm
2013-03-19,1.58
2013-03-20,0.0
2013-03-21,8.27
2013-03-22,8.31
2013-03-23,3.68
2013-03-24,0.0
2013-03-25,0.01
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,0.0
2013-03-29,0.0
2013-03-30,0.0
2013-03-31,0.0
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.02
2013-04-04,0.0
2013-04-05,0.0
2013-04-06,0.0
2013-04-07,0.0
2013-04-08,2.66
2013-04-09,0.12
2013-04-10,14.89
2013-04-11,1.86
2013-04-12,4.46
2013-04-13,4.65
2013-04-14,0.0
2013-04-15,0.0
2013-04-16,0.1
2013-04-17,0.0
2013-04-18,1.28
2013-04-19,0.0
2013-04-20,0.0
2013-04-21,0.0
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,0.1
2013-04-25,6.07
2013-04-26,0.0
2013-04-27,1.65
2013-04-28,0.0
2013-04-29,0.0
2013-04-30,0.0
2013-05-01,0.0
2013-05-02,0.0
2013-05-03,0.0
2013-05-04,0.1
2013-05-05,0.0
2013-05-06,0.0
2013-05-07,1.24
2013-05-08,0.29
2013-05-09,2.25
2013-05-10,2.05
2013-05-11,0.83
2013-05-12,0.9
2013-05-13,0.0
2013-05-14,9.54
2013-05-15,0.15
2013-05-16,0.34
2013-05-17,0.0
2013-05-18,0.0
2013-05-19,0.45
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,2.86
2013-05-24,4.39
2013-05-25,0.0
2013-05-26,0.0
2013-05-27,8.38
2013-05-28,10.17
2013-05-29,3.41
2013-05-30,0.28
2013-05-31,0.0
2013-06-01,0.0
2013-06-02,0.0
2013-06-03,0.0
2013-06-04,0.0
2013-06-05,0.0
2013-06-06,0.0
2013-06-07,0.0
2013-06-08,0.0
2013-06-09,0.0
2013-06-10,0.19
2013-06-11,0.23
2013-06-12,1.84
2013-06-13,0.0
2013-06-14,2.47
2013-06-15,4.91
2013-06-16,0.66
2013-06-17,0.0
2013-06-18,0.0
2013-06-19,0.0
2013-06-20,0.0
2013-06-21,2.83
2013-06-22,2.27
2013-06-23,1.78
2013-06-24,0.27
2013-06-25,0.26
2013-06-26,0.0
2013-06-27,2.05
2013-06-28,0.04
2013-06-29,0.0
2013-06-30,0.17
2013-07-01,0.08
2013-07-02,0.33
2013-07-26,0.0
2013-07-27,8.6
2013-07-28,0.28
2013-07-29,14.15
2013-07-30,4.53
2013-07-31,0.0
2013-08-01,0.09
2013-08-02,0.0
2013-08-03,0.0
2013-08-04,0.18
2013-08-05,5.82
2013-08-06,0.0
2013-08-07,0.0
2013-08-08,1.59
2013-08-09,0.0
2013-08-10,0.0
2013-08-11,0.0
2013-08-12,0.0
2013-08-13,0.09
2013-08-14,2.24
2013-08-15,1.04
2013-08-16,1.07
2013-08-17,0.56
2013-08-18,0.19
2013-08-19,0.0
2013-08-20,0.0
2013-08-21,1.7
2013-08-22,0.09
2013-08-23,0.09
2013-08-24,5.13
2013-08-25,0.0
2013-08-26,0.0
2013-08-27,0.0
2013-08-28,0.0
2013-08-29,0.0
2013-08-30,0.0
2013-08-31,0.0
2013-09-01,0.09
2013-09-02,0.0
2013-09-03,0.0
2013-09-04,0.0
2013-09-05,0.37
2013-09-06,0.37
2013-09-07,0.0
2013-09-08,5.68
2013-09-09,4.71
2013-09-10,0.0
2013-09-11,4.18
2013-09-12,0.55
2013-09-13,23.2
2013-09-14,0.0
2013-09-15,0.75
2013-09-16,0.0
2013-09-17,6.15
2013-09-18,0.0
2013-09-19,0.66
2013-09-20,0.0
2013-09-21,0.0
2013-09-22,0.0
2013-09-23,0.0
2013-09-24,0.0
2013-09-25,0.57
2013-09-26,0.0
2013-09-27,0.0
2013-09-28,0.37
2013-09-29,0.0
2013-09-30,0.0
2013-10-01,0.57
2013-10-02,0.0
2013-10-03,0.66
2013-10-04,0.0
2013-10-05,0.0
2013-10-06,0.0
2013-10-07,0.0
2013-10-08,0.0
2013-10-09,0.0
2013-10-10,0.0
2013-10-11,1.9
2013-10-12,0.83
2013-10-13,7.01
2013-10-14,7.52
2013-10-15,0.19
2013-10-16,4.28
2013-10-17,0.0
2013-10-18,1.95
2013-10-19,6.48
2013-10-20,10.05
2013-10-21,2.07
2013-10-22,11.79
2013-10-23,0.0
2013-10-24,2.76
2013-10-25,0.0
2013-10-26,4.71
2013-10-27,21.94
2013-10-28,1.06
2013-10-29,0.0
2013-10-30,1.39
2013-10-31,1.28
2013-11-01,1.18
2013-11-02,0.09
2013-11-03,16.5
2013-11-04,5.87
2013-11-05,2.77
2013-11-06,2.39
2013-11-07,0.0
2013-11-08,5.01
2013-11-09,7.07
2013-11-10,1.0
2013-11-11,2.0
2013-11-12,0.0
2013-11-13,0.09
2013-11-14,0.0
2013-11-15,0.0
2013-11-16,0.0
2013-11-17,0.0
2013-11-18,0.18
2013-11-19,0.0
2013-11-20,6.18
2013-11-21,0.0
2013-11-22,0.0
2013-11-23,0.0
2013-11-24,0.0
2013-11-25,0.0
2013-11-26,0.09
2013-11-27,0.0
2013-11-28,0.0
2013-11-29,0.0
2013-11-30,0.0
2013-12-01,0.0
2013-12-02,0.0
2013-12-03,0.0
2013-12-04,0.46
2013-12-05,0.39
2013-12-06,0.0
2013-12-07,0.0
2013-12-08,0.0
2013-12-09,0.0
2013-12-10,0.0
2013-12-11,0.18
2013-12-12,0.09
2013-12-13,0.85
2013-12-14,2.0
2013-12-15,9.99
2013-12-16,10.16
2013-12-17,2.31
2013-12-18,9.49
2013-12-19,0.77
2013-12-20,4.46
2013-12-21,6.38
2013-12-22,0.09
2013-12-23,28.73
2013-12-24,2.93
2013-12-25,6.14
2013-12-26,3.22
2013-12-27,0.0
2013-12-28,0.0
2013-12-29,0.83
2013-12-30,5.27
2013-12-31,5.27
2014-01-01,14.71
2014-01-02,6.09
2014-01-03,14.79
2014-01-04,6.45
2014-01-05,6.82
2014-01-06,1.99
2014-01-07,3.33
2014-01-08,2.97
2014-01-09,0.0
2014-01-10,1.97
2014-01-11,0.0
2014-01-12,4.78
2014-01-13,3.25
2014-01-14,4.47
2014-01-15,2.51
2014-01-16,11.73
2014-01-17,0.65
2014-01-18,3.59
2014-01-19,0.0
2014-01-20,0.0
2014-01-21,7.38
2014-01-22,0.0
2014-01-23,0.58
2014-01-24,8.28
2014-01-25,1.87
2014-01-26,7.9
2014-01-27,3.53
2014-01-28,1.43
2014-01-29,9.3
2014-01-30,0.0
2014-01-31,14.63
2014-02-01,0.0
