date,flow_m3s
2024-01-01,190.283
2024-01-02,217.398
2024-01-03,233.520
2024-01-04,260.798
2024-01-05,293.334
2024-01-06,310.222
2024-01-07,325.050
2024-01-08,360.453
2024-01-09,352.239
2024-01-10,321.712
2024-01-11,289.551
2024-01-12,261.172
2024-01-13,226.579
2024-01-14,193.142
2024-01-15,169.944
2024-01-16,155.535
2024-01-17,135.900
2024-01-18,132.837
2024-01-19,119.497
2024-01-20,117.877
2024-01-21,115.932
2024-01-22,154.485
2024-01-23,168.822
2024-01-24,173.905
2024-01-25,160.960
2024-01-26,154.858
2024-01-27,139.758
2024-01-28,134.312
2024-01-29,119.949
2024-01-30,117.840
2024-01-31,108.887
2024-02-01,101.840
2024-02-02,96.247
2024-02-03,94.600
2024-02-04,94.063
2024-02-05,92.456
2024-02-06,92.237
2024-02-07,131.974
2024-02-08,165.869
2024-02-09,209.940
2024-02-10,230.192
2024-02-11,258.284
2024-02-12,267.095
2024-02-13,259.063
2024-02-14,243.555
2024-02-15,229.441
2024-02-16,209.341
2024-02-17,189.454
2024-02-18,210.712
2024-02-19,227.742
2024-02-20,238.668
2024-02-21,244.258
2024-02-22,253.804
2024-02-23,264.322
2024-02-24,272.999
2024-02-25,282.179
2024-02-26,283.420
2024-02-27,276.318
2024-02-28,265.720
2024-02-29,246.970
2024-03-01,237.432
2024-03-02,235.391
2024-03-03,248.099
2024-03-04,247.351
2024-03-05,234.445
2024-03-06,211.722
2024-03-07,189.642
2024-03-08,169.711
2024-03-09,157.084
2024-03-10,161.905
2024-03-11,157.436
2024-03-12,178.395
2024-03-13,196.755
2024-03-14,200.751
2024-03-15,193.442
2024-03-16,188.269
2024-03-17,183.759
2024-03-18,174.175
2024-03-19,171.657
2024-03-20,156.767
2024-03-21,149.870
2024-03-22,137.945
2024-03-23,135.204
2024-03-24,120.196
2024-03-25,118.980
2024-03-26,118.539
2024-03-27,142.431
2024-03-28,183.615
2024-03-29,207.481
2024-03-30,225.014
2024-03-31,229.136
2024-04-01,227.632
2024-04-02,227.475
2024-04-03,220.728
2024-04-04,206.811
2024-04-05,198.329
2024-04-06,189.978
2024-04-07,188.698
2024-04-08,183.983
2024-04-09,171.504
2024-04-10,153.935
2024-04-11,137.534
2024-04-12,130.685
2024-04-13,124.013
2024-04-14,112.219
2024-04-15,112.661
2024-04-16,105.337
2024-04-17,103.985
2024-04-18,99.735
2024-04-19,91.197
2024-04-20,89.316
2024-04-21,85.130
2024-04-22,84.006
2024-04-23,83.921
2024-04-24,86.577
2024-04-25,87.472
2024-04-26,86.240
2024-04-27,85.902
2024-04-28,122.202
2024-04-29,146.985
2024-04-30,136.263
2024-05-01,120.827
2024-05-02,112.188
2024-05-03,115.164
2024-05-04,116.162
2024-05-05,111.690
2024-05-06,96.983
2024-05-07,98.860
2024-05-08,99.151
2024-05-09,81.832
2024-05-10,77.434
2024-05-11,65.595
2024-05-12,65.134
2024-05-13,64.021
2024-05-14,61.741
2024-05-15,65.914
2024-05-16,65.978
2024-05-17,64.665
2024-05-18,61.709
2024-05-19,58.036
2024-05-20,53.805
2024-05-21,53.833
2024-05-22,71.313
2024-05-23,94.608
2024-05-24,86.452
2024-05-25,83.040
2024-05-26,75.788
2024-05-27,73.839
2024-05-28,68.690
2024-05-29,62.440
2024-05-30,64.451
2024-05-31,60.065
2024-06-01,46.893
2024-06-02,49.888
2024-06-03,54.644
2024-06-04,49.580
2024-06-05,47.147
2024-06-06,47.289
2024-06-07,48.042
2024-06-08,48.069
2024-06-09,43.152
2024-06-10,48.779
2024-06-11,48.640
2024-06-12,45.887
2024-06-13,44.969
2024-06-14,43.240
2024-06-15,49.008
2024-06-16,45.730
2024-06-17,46.255
2024-06-18,44.785
2024-06-19,37.916
2024-06-20,39.480
2024-06-21,35.611
2024-06-22,34.539
2024-06-23,34.420
2024-06-24,32.838
2024-06-25,33.290
2024-06-26,32.541
2024-06-27,28.801
2024-06-28,26.568
2024-06-29,23.097
2024-06-30,22.967
2024-07-01,23.269
2024-07-02,24.537
2024-07-03,24.571
2024-07-04,26.603
2024-07-05,32.547
2024-07-06,68.160
2024-07-07,49.810
2024-07-08,57.851
2024-07-09,57.417
2024-07-10,54.302
2024-07-11,46.087
2024-07-12,44.494
2024-07-13,36.988
2024-07-14,36.041
2024-07-15,38.289
2024-07-16,62.076
2024-07-17,44.461
2024-07-18,44.294
2024-07-19,40.868
2024-07-20,35.534
2024-07-21,35.356
2024-07-22,30.336
2024-07-23,30.423
2024-07-24,29.042
2024-07-25,26.469
2024-07-26,27.533
2024-07-27,27.044
2024-07-28,24.442
2024-07-29,23.907
2024-07-30,26.868
2024-07-31,27.945
2024-08-01,28.023
2024-08-02,31.972
2024-08-03,33.941
2024-08-04,28.865
2024-08-05,29.768
2024-08-06,28.260
2024-08-07,28.430
2024-08-08,27.435
2024-08-09,27.309
2024-08-10,25.923
2024-08-11,25.937
2024-08-12,25.336
2024-08-13,24.657
2024-08-14,24.412
2024-08-15,25.354
2024-08-16,25.381
2024-08-17,24.345
2024-08-18,24.303
2024-08-19,23.929
2024-08-20,23.470
2024-08-21,23.236
2024-08-22,21.608
2024-08-23,21.957
2024-08-24,27.316
2024-08-25,32.125
2024-08-26,25.924
2024-08-27,26.722
2024-08-28,26.498
2024-08-29,26.331
2024-08-30,24.191
2024-08-31,22.853
2024-09-01,19.972
2024-09-02,18.558
2024-09-03,18.161
2024-09-04,14.929
2024-09-05,18.386
2024-09-06,32.947
2024-09-07,30.672
2024-09-08,44.403
2024-09-09,35.684
2024-09-10,36.051
2024-09-11,23.995
2024-09-12,20.881
2024-09-13,25.298
2024-09-14,24.161
2024-09-15,20.956
2024-09-16,21.092
2024-09-17,17.451
2024-09-18,16.111
2024-09-19,16.169
2024-09-20,15.791
2024-09-21,23.292
2024-09-22,43.179
2024-09-23,92.276
2024-09-24,157.903
2024-09-25,173.853
2024-09-29,214.613
2024-09-30,211.467
2024-10-01,212.043
2024-10-02,206.230
2024-10-03,182.597
2024-10-04,161.683
2024-10-05,143.032
2024-10-06,127.759
2024-10-07,125.097
2024-10-08,123.784
2024-10-09,144.919
2024-10-10,143.976
2024-10-11,142.396
2024-10-12,139.399
2024-10-13,138.269
2024-10-14,139.945
2024-10-15,141.375
2024-10-16,139.504
2024-10-17,138.757
2024-10-18,131.817
2024-10-19,139.860
2024-10-20,149.512
2024-10-21,144.868
2024-10-22,136.878
2024-10-23,136.457
2024-10-24,134.047
2024-10-25,127.976
2024-10-26,115.853
2024-10-27,105.706
2024-10-28,103.109
2024-10-29,98.340
2024-10-30,89.480
2024-10-31,82.153
2024-11-01,83.435
2024-11-02,79.170
2024-11-03,76.988
2024-11-04,73.470
2024-11-05,69.806
2024-11-06,66.182
2024-11-07,67.836
2024-11-08,61.349
2024-11-09,64.063
2024-11-10,61.736
2024-11-11,59.874
2024-11-12,56.990
2024-11-13,57.108
2024-11-14,53.115
2024-11-15,53.567
2024-11-16,53.335
2024-11-17,53.575
2024-11-18,56.899
2024-11-19,90.398
2024-11-20,91.556
2024-11-21,94.074
2024-11-22,82.878
2024-11-23,73.809
2024-11-24,128.919
2024-11-25,177.673
2024-11-26,212.183
2024-11-27,246.915
2024-11-28,258.112
2024-11-29,278.440
2024-11-30,283.397
2024-12-01,266.661
2024-12-02,247.065
2024-12-03,224.541
2024-12-04,192.348
2024-12-05,174.893
2024-12-06,172.959
2024-12-07,176.745
2024-12-08,180.262
2024-12-09,186.830
2024-12-10,194.574
2024-12-11,192.908
2024-12-12,186.279
2024-12-13,174.148
2024-12-14,158.872
2024-12-15,143.467
2024-12-16,128.313
2024-12-17,121.770
2024-12-18,118.716
2024-12-19,120.537
2024-12-20,130.322
2024-12-21,127.408
