date,flow_m3s
2024-01-01,186.304
2024-01-02,209.246
2024-01-03,228.044
2024-01-04,256.889
2024-01-05,287.064
2024-01-06,306.960
2024-01-07,333.850
2024-01-08,330.583
2024-01-09,322.478
2024-01-10,304.512
2024-01-11,278.545
2024-01-12,252.738
2024-01-13,218.036
2024-01-14,182.928
2024-01-15,161.036
2024-01-16,148.143
2024-01-17,129.368
2024-01-18,126.418
2024-01-19,112.011
2024-01-20,109.578
2024-01-21,106.928
2024-01-22,143.115
2024-01-23,157.621
2024-01-24,162.294
2024-01-25,149.574
2024-01-26,142.776
2024-01-27,129.568
2024-01-28,124.950
2024-01-29,111.948
2024-01-30,108.895
2024-01-31,100.407
2024-02-01,94.238
2024-02-02,87.687
2024-02-03,89.085
2024-02-04,87.459
2024-02-05,85.858
2024-02-06,85.755
2024-02-07,122.957
2024-02-08,161.570
2024-02-09,204.429
2024-02-10,225.801
2024-02-11,254.188
2024-02-12,262.317
2024-02-13,252.288
2024-02-14,236.286
2024-02-15,222.746
2024-02-16,201.798
2024-02-17,183.324
2024-02-18,199.748
2024-02-19,215.521
2024-02-20,227.620
2024-02-21,235.218
2024-02-22,246.134
2024-02-23,256.467
2024-02-24,264.914
2024-02-25,272.314
2024-02-26,272.594
2024-02-27,270.477
2024-02-28,260.002
2024-02-29,238.810
2024-03-01,226.273
2024-03-02,220.857
2024-03-03,223.793
2024-03-04,222.128
2024-03-05,210.816
2024-03-06,196.151
2024-03-07,179.091
2024-03-08,158.392
2024-03-09,143.250
2024-03-10,140.249
2024-03-11,141.620
2024-03-12,160.603
2024-03-13,177.731
2024-03-14,181.832
2024-03-15,180.020
2024-03-16,170.650
2024-03-17,163.670
2024-03-18,158.970
2024-03-19,159.337
2024-03-20,145.824
2024-03-21,138.599
2024-03-22,127.033
2024-03-23,120.706
2024-03-24,111.746
2024-03-25,109.518
2024-03-26,109.241
2024-03-27,129.774
2024-03-28,169.113
2024-03-29,195.611
2024-03-30,212.915
2024-03-31,217.649
2024-04-01,212.891
2024-04-02,212.648
2024-04-03,208.611
2024-04-04,193.684
2024-04-05,185.431
2024-04-06,179.239
2024-04-07,177.484
2024-04-08,172.016
2024-04-09,158.664
2024-04-10,141.905
2024-04-11,127.029
2024-04-12,120.755
2024-04-13,115.542
2024-04-14,104.643
2024-04-15,104.592
2024-04-16,98.408
2024-04-17,99.148
2024-04-18,94.822
2024-04-19,87.071
2024-04-20,84.906
2024-04-21,80.888
2024-04-22,78.825
2024-04-23,79.851
2024-04-24,80.660
2024-04-25,78.776
2024-04-26,77.353
2024-04-27,77.116
2024-04-28,108.497
2024-04-29,132.807
2024-04-30,122.043
2024-05-01,110.769
2024-05-02,104.883
2024-05-03,107.833
2024-05-04,110.183
2024-05-05,106.896
