site,date,ec,ei,season,rain_24h,rain_48h,rain_72h,rain_7d,dry_days,max_rain_3d,teddington_level,cso_active_48h,cso_hours_48h,cso_active_monitors,cso_active_72h,cso_hours_72h
Walton Wharf,2024-05-21,780,68,spring,0.22,0.22,0.22,2.87,4,0.22,0.138,False,0.0,,False,0.0
Walton Wharf,2024-05-27,250,71,spring,0.08,6.71,6.71,24.33,1,6.63,0.088,True,48.0,"Amyand Park Road, Twickenham(48.0h)",True,72.0
Walton Wharf,2024-06-04,430,154,summer,0.0,0.0,0.0,1.98,7,0.0,0.137,False,0.0,,False,0.0
Walton Wharf,2024-06-10,340,90,summer,1.68,1.68,1.68,2.26,13,1.68,0.085,False,0.0,,False,0.0
Walton Wharf,2024-06-13,200,78,summer,0.0,0.11,0.17,1.85,14,0.11,0.086,False,0.0,,False,0.0
Walton Wharf,2024-06-17,420,114,summer,0.0,5.12,5.81,6.99,1,5.12,0.092,False,0.0,,False,0.0
Walton Wharf,2024-06-20,140,760,summer,0.0,0.0,0.0,6.82,4,0.0,0.063,False,0.0,,False,0.0
Walton Wharf,2024-06-24,480,92,summer,0.0,0.0,0.04,0.04,8,0.04,0.077,False,0.0,,False,0.0
Walton Wharf,2024-06-27,400,87,summer,0.0,0.0,0.0,0.04,11,0.0,0.076,False,0.0,,False,0.0
Walton Wharf,2024-07-01,150,56,summer,0.0,0.0,0.0,0.0,14,0.0,-0.001,False,0.0,,False,0.0
Walton Wharf,2024-07-04,280,68,summer,0.14,0.9,0.97,0.97,14,0.76,0.089,False,0.0,,False,0.0
Walton Wharf,2024-07-08,4300,400,summer,4.94,6.17,14.64,20.25,0,8.47,0.145,True,21.1,Leatherhead(3.5h); Windsor(17.6h),True,35.3
Walton Wharf,2024-07-09,510,102,summer,7.7,12.64,13.87,27.88,0,7.7,0.174,True,10.7,Leatherhead(3.5h); Windsor(7.2h),True,22.4
Walton Wharf,2024-07-10,500,440,summer,7.76,15.46,20.4,34.88,0,7.76,0.118,True,5.1,"Cobham Bridge, Adj Cobham PS(0.8h); Windsor(4.3h)",True,14.4
Walton Wharf,2024-07-11,480,440,summer,0.0,7.76,15.46,34.74,1,7.76,0.083,True,3.8,"Cobham Bridge, Adj Cobham PS(0.8h); Windsor(3.0h)",True,5.1
Walton Wharf,2024-07-15,390,107,summer,0.0,0.0,0.02,15.9,5,0.02,0.09,False,0.0,,False,0.0
Walton Wharf,2024-07-18,870,148,summer,0.01,7.38,25.57,26.01,1,18.19,0.126,True,0.5,Weybridge(0.5h),True,49.0
Walton Wharf,2024-07-22,2100,92,summer,0.0,0.09,0.09,25.66,5,0.09,0.058,False,0.0,,False,0.0
Walton Wharf,2024-07-25,240,103,summer,0.26,0.31,0.74,0.83,8,0.43,0.068,False,0.0,,False,0.0
Walton Wharf,2024-07-29,370,86,summer,0.0,0.0,0.0,1.42,12,0.0,0.073,False,0.0,,False,0.0
Walton Wharf,2024-08-01,270,38,summer,0.01,0.01,0.01,0.69,14,0.01,0.111,False,0.0,,False,0.0
Walton Wharf,2024-08-05,280,92,summer,0.0,0.0,0.0,3.75,3,0.0,0.122,False,0.0,,False,0.0
Walton Wharf,2024-08-08,320,,summer,0.0,4.2,4.2,7.94,1,4.2,0.12,False,0.0,,False,0.0
Walton Wharf,2024-08-15,220,68,summer,0.0,2.32,2.32,3.45,1,2.32,0.118,False,0.0,,False,0.0
Walton Wharf,2024-08-19,280,76,summer,0.0,0.0,0.0,6.19,3,0.0,0.105,False,0.0,,False,0.0
Walton Wharf,2024-08-27,2400,250,summer,0.0,0.0,9.12,13.92,2,9.12,0.088,False,0.0,,True,4.3
Walton Wharf,2024-08-29,230,57,summer,0.0,0.0,0.0,13.86,4,0.0,0.113,False,0.0,,False,0.0
Walton Wharf,2024-09-02,2300,290,autumn,0.0,0.0,0.0,0.0,8,0.0,0.067,False,0.0,,False,0.0
Walton Wharf,2024-09-06,3100,820,autumn,22.69,25.05,25.05,26.57,0,22.69,0.085,True,19.1,"Ripley(3.0h); Cobham Bridge, Adj Cobham PS(1.5h); Leatherhead(4.0h); Windsor(10.6h)",True,19.1
