testLocationId,locationName,stationId,latitude,longitude,testDate,ec,ecDescription,ei,eiDescription,testType,flowRate,waterTemperature,rainfall24h,rainfall3d,rainfall7d,reference,testResultId
b4e3a64e-de28-ef11-913f-801844dec051,Chertsey (Paxmead River Base),2900TH,51.38674,-0.47055,2024-06-10,460,Excellent,98,Excellent,Laboratory,45.4,,2.8,3.2,5.4,,081cf423-e028-ef11-913f-801844dec051
b4e3a64e-de28-ef11-913f-801844dec051,Chertsey (Paxmead River Base),2900TH,51.38674,-0.47055,2024-06-27,73,Excellent,49,Excellent,Laboratory,32.4,,0.0,0.0,1.3,,803ad05d-8637-ef11-9140-801844dec051
b4e3a64e-de28-ef11-913f-801844dec051,Chertsey (Paxmead River Base),2900TH,51.38674,-0.47055,2024-07-02,92,Excellent,35,Excellent,Laboratory,25.1,,0.3,0.3,0.3,,1eea368f-273a-ef11-9140-801844dec051
b4e3a64e-de28-ef11-913f-801844dec051,Chertsey (Paxmead River Base),2900TH,51.38674,-0.47055,2024-07-08,6200,Poor,520,Poor,Laboratory,58.0,,6.8,28.7,37.7,,c7aed717-2f40-ef11-9140-801844dec051
b4e3a64e-de28-ef11-913f-801844dec051,Chertsey (Paxmead River Base),2900TH,51.38674,-0.47055,2024-07-10,2300,Poor,200,Sufficient,Laboratory,57.5,,5.5,25.3,55.7,,bb530a9f-2f40-ef11-9140-801844dec051
b4e3a64e-de28-ef11-913f-801844dec051,Chertsey (Paxmead River Base),2900TH,51.38674,-0.47055,2024-07-12,170,Excellent,67,Excellent,Laboratory,36.1,,0.1,5.7,55.8,,0c187c60-7043-ef11-9141-801844dec051
b4e3a64e-de28-ef11-913f-801844dec051,Chertsey (Paxmead River Base),2900TH,51.38674,-0.47055,2024-07-24,140,Excellent,46,Excellent,Laboratory,30.74,,1.7,5.8,6.1,,798e0f9f-974d-ef11-9141-801844dec051
b4e3a64e-de28-ef11-913f-801844dec051,Chertsey (Paxmead River Base),2900TH,51.38674,-0.47055,2024-09-06,700,Sufficient,570,Poor,Laboratory,22.44,,6.8,10.7,12.4,,3de71689-b772-ef11-9142-801844dec051
b4e3a64e-de28-ef11-913f-801844dec051,Chertsey (Paxmead River Base),2900TH,51.38674,-0.47055,2024-09-18,120,Excellent,41,Excellent,Laboratory,18.4,,0.0,1.0,1.6,,1f21c5a2-777b-ef11-9143-801844dec051
b4e3a64e-de28-ef11-913f-801844dec051,Chertsey (Paxmead River Base),2900TH,51.38674,-0.47055,2025-09-16,165,Excellent,,N/A,R-Card,10.19,,0.0,2.8,21.3,,b69594ce-7d83-421b-115c-08ddf5f44548
